rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
131,New Mexico State,CUSA,17-15,2.94,104.3,101.4,64.9,-0.037,2.28,106.9,104.6,1.72
132,Duquesne,A10,13-19,2.85,106.1,103.3,65.3,-0.127,2.02,107.1,105.1,-2.0
133,North Dakota State,Sum,21-11,2.78,115.4,112.6,64.9,-0.006,-3.1,107.5,110.6,-0.24
134,South Dakota State,Sum,20-12,2.68,109.7,107.0,69.0,-0.018,-1.81,108.0,109.8,4.17
135,Wichita State,Amer,19-14,2.66,106.8,104.1,68.7,0.041,1.44,107.4,106.0,1.08
136,Kent State,MAC,22-11,2.64,105.4,102.8,66.1,0.027,-3.85,105.7,109.6,1.81
137,Furman,SC,25-9,2.33,109.7,107.4,66.0,0.121,-1.61,106.4,108.0,0.41
138,Tulane,Amer,19-14,2.12,108.8,106.7,66.7,-0.033,-1.3,106.4,107.7,-6.64
139,Robert Morris,Horz,26-8,2.08,107.0,105.0,67.8,0.088,-6.29,104.5,110.8,-8.66
140,Illinois State,MVC,19-14,1.97,111.9,110.0,65.8,-0.015,0.03,107.5,107.5,-1.54
141,East Tennessee State,SC,19-13,1.9,106.8,104.9,65.1,-0.069,-3.4,105.9,109.3,-3.25
142,Murray State,MVC,16-17,1.89,106.4,104.5,64.9,-0.05,1.38,107.6,106.2,1.25
143,UNC Greensboro,SC,20-12,1.79,107.2,105.4,63.9,-0.016,-2.36,106.6,109.0,1.45
144,Milwaukee,Horz,21-11,1.76,107.3,105.5,68.7,0.004,-3.21,106.1,109.3,2.4
145,UC Riverside,BW,21-12,1.6,110.2,108.6,67.1,0.127,1.7,107.5,105.8,8.6
146,Seattle,WAC,14-18,1.59,104.0,102.4,66.0,-0.138,-0.11,104.9,105.1,4.89
147,UC Santa Barbara,BW,21-13,1.58,108.8,107.2,65.5,-0.001,-2.39,105.0,107.4,-8.75
148,Davidson,A10,17-16,1.56,109.8,108.2,66.0,-0.02,0.42,106.4,106.0,-4.9
149,Bryant,AE,23-11,1.18,106.7,105.5,72.5,-0.003,-7.04,103.0,110.0,0.41
150,Rhode Island,A10,18-13,0.9,108.2,107.3,70.4,0.016,-0.7,105.8,106.5,-6.67
151,Miami OH,MAC,25-9,0.73,107.8,107.1,69.0,0.086,-5.78,103.7,109.5,-3.38
152,Radford,BSth,20-13,0.69,110.4,109.7,62.8,0.059,-2.13,106.8,108.9,1.4
153,Charleston,CAA,24-9,0.65,106.1,105.4,70.1,0.141,-2.74,105.9,108.6,0.11
154,Towson,CAA,22-11,0.64,106.9,106.2,63.7,0.094,-2.19,105.9,108.0,3.31
155,Loyola Marymount,WCC,17-15,0.52,104.2,103.7,67.2,0.062,2.56,108.7,106.1,-0.2
156,Nebraska Omaha,Sum,22-12,0.51,111.1,110.6,67.8,0.071,-2.55,106.8,109.3,0.36
157,Montana,BSky,25-9,0.39,110.8,110.4,67.1,0.186,-2.26,106.4,108.7,8.69
158,UTEP,CUSA,18-15,0.38,105.3,104.9,68.8,0.028,2.4,106.9,104.5,0.73
159,Western Kentucky,CUSA,17-15,0.3,103.4,103.1,71.7,0.034,2.15,106.6,104.5,1.99
160,Texas A&M Corpus Chris,Slnd,20-14,0.25,106.0,105.8,67.4,-0.028,-3.79,104.1,107.9,3.88
161,Virginia Tech,ACC,13-19,0.18,106.4,106.3,65.2,0.03,6.93,110.9,104.0,-1.2
162,James Madison,SB,20-12,0.09,110.5,110.4,64.9,0.069,-1.46,105.5,107.0,3.61
163,Winthrop,BSth,23-11,-0.03,108.4,108.4,72.7,0.078,-3.86,105.9,109.7,-3.64
164,Purdue Fort Wayne,Horz,19-13,-0.07,109.0,109.1,69.8,-0.015,-3.67,105.2,108.9,0.6
165,San Jose State,MWC,15-19,-0.11,107.3,107.4,66.4,0.009,4.69,108.7,104.0,-3.38
166,Lamar,Slnd,20-13,-0.17,102.0,102.2,65.4,0.047,-1.84,105.5,107.3,3.94
167,Cal Baptist,WAC,17-15,-0.33,105.8,106.1,65.7,-0.013,-1.84,103.7,105.6,-0.02
168,Cleveland State,Horz,21-12,-0.4,103.7,104.1,65.3,0.032,-4.45,104.8,109.3,-0.32
169,Marshall,SB,20-13,-0.52,106.3,106.9,68.7,0.002,-4.38,105.3,109.7,-4.5
